번호,터미널명,구,동,주소,등록일자,보관대수,위도,경도
1,경남은행 본점 앞,마산합포구,교방동,경남 창원시 마산회원구 석전동  267 도로,2011-08-10,20,35.23023141,128.5766995
2,경남지방경찰청,마산합포구,교방동,경남 창원시 의창구 사림동  1-2 대,2010-01-11,30,35.23649287,128.6935687
3,대동다숲아파트 앞,마산합포구,문화동,경남 창원시 진해구 장천동  119-14 도로,2011-08-05,20,35.12992097,128.7065077
4,대동백화점,마산합포구,문화동,경남 창원시 성산구 상남동  503 도,2010-06-22,30,35.2211648,128.6903393
5,도계동 안골,마산합포구,반월중앙동,경남 창원시 의창구 도계동  88-6(도),2021-07-27,20,35.2637831,128.6425987
6,도계동 정류소앞,마산합포구,반월중앙동,경남 창원시 의창구 도계동  444번지 버스정류소 옆,2008-10-02,20,35.25864727,128.6333799
7,소계동 SK주유소앞,마산합포구,오동동,경남 창원시 의창구 소계동  366-3 도,2010-01-11,25,35.25584599,128.6003378
8,소라아파트앞,마산합포구,오동동,경남 창원시 성산구 가음정동  558-2 도,2009-05-13,40,35.20811746,128.6866701
9,소죽도 찜질방,마산합포구,오동동,경남 창원시 진해구 덕산동  585번지 소죽도찜질방,2013-10-05,14,35.14095425,128.6888427
10,속천종점,마산합포구,오동동,경남 창원시 진해구 태평동  86-58도,2011-08-05,20,35.14392398,128.6698902
11,시민생활체육관,마산합포구,오동동,경남 창원시 성산구 상남동  503 도,2009-04-23,45,35.22271176,128.6881185
12,시청사거리(옛한서병원),마산합포구,오동동,경남 창원시 성산구 중앙동  516-3 한서한방병원 앞,2008-08-18,30,35.22758252,128.6796293
13,유니시티2단지 공원,마산합포구,월영동,경남 창원시 의창구 중동  793-1,2019-12-26,30,35.257951,128.6281847
14,육호광장,마산합포구,월영동,경남 창원시 마산합포구 상남동  142-2 육호광장,2011-08-05,16,35.21200953,128.5753047
15,윤병원 건너편,마산합포구,월영동,경남 창원시 의창구 서상동  305-6,2009-04-23,20,35.26133675,128.6207601
16,은아상가,마산합포구,월영동,경남 창원시 성산구 신월동  501-22 도,2009-05-13,25,35.22696466,128.6867934
17,은아아파트 정문,마산합포구,월영동,경남 창원시 성산구 신월동  503 도,2009-04-23,33,35.22451067,128.685852
18,해군의집,마산합포구,합포동,경남 창원시 진해구 도천동  중장로 13 도로,2011-08-05,24,35.15333913,128.6545104
19,허앤리병원 버스정류소,마산합포구,현동,경남 창원시 의창구 명서동  500-3도,2009-04-23,25,35.24391485,128.6480811
20,현동LH1단지앞 사거리,마산합포구,현동,경남 창원시 마산합포구 현동 1295,,,35.1510772,128.5539188
21,경상대병원동문,마산회원구,구암1동,경남 창원시 성산구 삼정자동  530,2016-07-21,30,35.19851,128.709068
22,경화동 두산위브,마산회원구,구암1동,경남 창원시 진해구 경화동  1233-31,2020-09-11,20,35.1598368,128.6847228
23,경화동 육교 밑,마산회원구,구암2동,경남 창원시 진해구 경화동  1248 도로,2011-08-05,20,35.15771846,128.6814719
24,경화동포스코더샵,마산회원구,내서읍,경남 창원시 진해구 경화동  1491-3답,2012-08-16,20,35.16018762,128.680222
